source_id,source_label,target_id,target_label,weight
4,10181,31,11574,0.002416037722
4,10181,32,11598,0.002416037722
4,10181,33,11612,0.002419909462
4,10181,34,11652,0.002416037722
4,10181,35,11689,0.002903512213
4,10181,36,11901,0.002416037722
4,10181,37,11902,0.002416037722
4,10181,38,11975,0.002416037722
4,10181,39,12026,0.0315990746
4,10181,40,12031,0.002416037722
4,10181,41,12072,0.004811038729
4,10181,42,12128,0.002416037722
4,10181,43,12131,0.002426089719
4,10181,44,12157,0.002416037722
4,10181,45,12260,0.002416037722
4,10181,46,12262,0.002416037722
4,10181,47,12380,0.01022181194
4,10181,48,12535,0.002416037722
4,10181,49,12611,0.002416037722
4,10181,50,12676,0.02190312557
4,10181,51,12761,0.002416037722
4,10181,52,12805,0.006473119371
4,10181,53,12814,0.002416037722
4,10181,54,13018,0.002416037722
4,10181,55,13062,0.002416037722
4,10181,56,13083,0.002416037722
4,10181,57,13398,0.2761517167
4,10181,58,13514,0.002416037722
4,10181,59,13559,0.002416037722
4,10181,60,13567,0.002416037722
4,10181,61,13623,0.002416037722
4,10181,62,13629,0.01238439512
4,10181,63,13650,0.002416037722
4,10181,64,13674,0.002416037722
4,10181,65,13702,0.2560551167
4,10181,66,13734,0.002416037722
4,10181,67,13851,0.002870943164
4,10181,68,13898,0.002416037722
4,10181,69,13904,0.002416037722
4,10181,70,13935,0.211590156
4,10181,71,14064,0.002929871436
4,10181,72,14175,0.002416037722
4,10181,73,14335,0.002416037722
4,10181,74,14351,0.002416037722
4,10181,75,14381,0.002416037722
4,10181,76,14413,0.002416037722
5,10201,0,10020,0.002455633366
5,10201,1,10028,0.002455633366
5,10201,2,10100,0.003932801541
5,10201,3,10126,0.002455633366
5,10201,4,10181,0.002455633366
5,10201,6,10215,0.002455633366
5,10201,7,10237,0.002455633366
5,10201,8,10320,0.005012504756
5,10201,9,10456,0.002455633366
5,10201,10,10462,0.002455633366
5,10201,11,10637,0.09970831126
5,10201,12,10639,0.002455633366
5,10201,13,10664,0.002455633366
5,10201,14,10682,0.002804238116
5,10201,15,10711,0.01552338153
5,10201,16,10764,0.03357678279
5,10201,17,10820,0.01464417391
5,10201,18,10862,0.002455633366
5,10201,19,10906,0.002455633366
5,10201,20,10951,0.005427747499
5,10201,21,11010,0.002455633366
5,10201,22,11130,0.004869978409
5,10201,23,11269,0.03841002285
5,10201,24,11273,0.002484092722
5,10201,25,11276,0.01223095227
5,10201,26,11303,0.002455633366
5,10201,27,11307,0.01582142897
5,10201,28,11424,0.002455633366
5,10201,29,11512,0.006566569209
5,10201,30,11550,0.003416246502
5,10201,31,11574,0.002455633366
5,10201,32,11598,0.0115918722
5,10201,33,11612,0.4701175988
5,10201,34,11652,0.002455633366
5,10201,35,11689,0.002455633366
5,10201,36,11901,0.002618971048
5,10201,37,11902,0.002455633366
5,10201,38,11975,0.007158141583
5,10201,39,12026,0.002455633366
5,10201,40,12031,0.002455633366
5,10201,41,12072,0.002455633366
5,10201,42,12128,0.0028350309
5,10201,43,12131,0.002455633366
5,10201,44,12157,0.002455633366
5,10201,45,12260,0.002455633366
5,10201,46,12262,0.006090060342
5,10201,47,12380,0.01453124452
5,10201,48,12535,0.006874601357
5,10201,49,12611,0.003708940931
5,10201,50,12676,0.00608432712
5,10201,51,12761,0.03789748624
5,10201,52,12805,0.002455633366
5,10201,53,12814,0.02570719086
5,10201,54,13018,0.002455633366
5,10201,55,13062,0.002455633366
5,10201,56,13083,0.002455633366
5,10201,57,13398,0.002455633366
5,10201,58,13514,0.002455633366
5,10201,59,13559,0.009963732213
5,10201,60,13567,0.002455633366
5,10201,61,13623,0.002455633366
5,10201,62,13629,0.002455633366
5,10201,63,13650,0.002455633366
5,10201,64,13674,0.004009854514
5,10201,65,13702,0.002455633366
5,10201,66,13734,0.002455633366
5,10201,67,13851,0.002455633366
5,10201,68,13898,0.002455633366
5,10201,69,13904,0.002455633366
5,10201,70,13935,0.002455633366
5,10201,71,14064,0.002455633366
5,10201,72,14175,0.002455633366
5,10201,73,14335,0.002455633366
5,10201,74,14351,0.003731435863
5,10201,75,14381,0.002455633366
5,10201,76,14413,0.002455633366
6,10215,0,10020,0.0001534481125
6,10215,1,10028,0.0001534481125
6,10215,2,10100,0.0001534481125
6,10215,3,10126,0.0001534481125
6,10215,4,10181,0.0001534481125
6,10215,5,10201,0.0001534481125
6,10215,7,10237,0.0001646019373
6,10215,8,10320,0.0001534481125
6,10215,9,10456,0.0002207016078
6,10215,10,10462,0.0001534481125
6,10215,11,10637,0.0001534481125
6,10215,12,10639,0.0001534481125
6,10215,13,10664,0.0005934322253
6,10215,14,10682,0.0001534481125
6,10215,15,10711,0.0001534481125
6,10215,16,10764,0.0009000794962
6,10215,17,10820,0.0001534481125
6,10215,18,10862,0.0001713137317
6,10215,19,10906,0.0001534481125
6,10215,20,10951,0.0001534481125
6,10215,21,11010,0.0001592675108
6,10215,22,11130,0.0001534481125
6,10215,23,11269,0.0001534481125
6,10215,24,11273,0.0002467223676
6,10215,25,11276,0.5951064229
6,10215,26,11303,0.0001534481125
6,10215,27,11307,0.0790829882
6,10215,28,11424,0.0001534481125
6,10215,29,11512,0.0001534481125
6,10215,30,11550,0.0001534481125
6,10215,31,11574,0.0001534481125
6,10215,32,11598,0.0001534481125
6,10215,33,11612,0.0001534481125
