pub_year,10101,10203,10260,10270,10286,10430,10538,10679,10734,11370,11614,11644,11693,11800,11813,11937,12016,12034,12338,12395,12408,12479,12519,12601,12799,12863,12943,13016,13034,13038,13081,13166,13194,13270,13274,13373,13386,13482,13565,13602,13608,13647,13673,13676,13832,13867,13873,13874,13913,13932,13964,13976,13999,14025,14029,14042,14071,14103,14155,14174,14215,14216,14307,14330,14345,14347,14387,14403,14409,14414,14430,14431,14435,14484,14496,14498,14516,14519
2013,10048,2752,6238,1353,1131,4358,5473,10171,3138,3930,3515,2491,1215,2801,2740,2773,5443,1915,1576,4015,4183,651,1885,1727,2977,5996,60,3023,611,123,103,2680,2663,926,732,1952,6365,633,9583,15458,612,122,1017,51,8572,2902,477,879,3807,87,339,829,2014,5800,150,4554,1779,218,187,89,679,5171,571,2249,2167,120,1809,1427,8833,207,12756,433,1523,3899,192,4801,2629,377
2014,10901,2999,6143,1889,1050,4402,5703,8968,3451,4122,3974,2823,1191,3046,2740,2970,5174,2080,1754,4861,5005,763,1976,1355,2815,5700,61,3331,568,182,116,2420,2582,907,785,2248,7424,704,10302,17875,637,125,1077,53,6200,3257,584,715,4681,98,330,808,1889,4478,113,3204,2076,213,222,100,623,6630,655,2224,2367,113,2000,1562,9564,251,8247,536,1764,4138,233,4591,3167,474
2015,10888,2974,6542,2184,945,4480,5481,7688,3688,4402,4075,3006,1079,3084,2611,3195,4661,2233,2072,6231,6433,661,2299,1063,2722,5516,109,3293,594,262,107,2675,2672,848,793,3123,8324,824,11539,20785,656,112,1240,70,4021,3528,728,746,6505,85,340,724,1698,3826,124,2219,2326,221,197,99,535,7747,677,2295,2551,182,2300,1706,10188,300,6279,482,2598,4704,323,4911,3575,713
2016,10700,3083,5945,2556,891,4159,5184,6337,3980,4063,3933,3203,1042,3215,2621,3321,4188,2112,2376,6985,5953,635,2400,749,2408,5285,113,2719,551,380,158,3103,2432,751,830,3892,6149,928,11925,23193,651,103,1204,86,1838,3812,933,668,7766,62,318,510,1587,2803,169,801,3064,180,164,103,486,8726,607,2306,2266,199,2520,1685,10358,320,1983,421,2966,4980,376,4832,4607,627
2017,10188,3341,5911,4011,810,4153,4842,5494,3849,4038,3873,3352,909,3123,2332,3474,3743,2131,2346,7518,6152,647,2526,658,2197,4989,145,2580,399,635,155,3694,2344,732,818,4913,5564,1065,12399,26634,693,109,1220,95,1502,4121,1010,602,9897,57,345,473,1266,2697,105,772,3251,148,176,112,452,11189,659,2246,2197,241,2861,1604,9893,348,2146,334,3989,5117,441,4700,5666,647
2018,10310,3334,6109,7454,715,4171,4792,4794,4110,4244,4049,3756,993,3182,2246,3408,3557,2312,2572,8218,7815,644,2765,591,2353,4701,168,3051,459,1145,191,5721,2408,848,823,5751,7261,1442,12993,29042,880,224,1354,133,1550,4307,1062,636,11632,55,325,443,1169,2769,123,817,3748,156,244,172,449,12031,689,2024,2861,224,3552,1617,10453,467,2007,325,5038,5486,552,4422,6881,850
2019,9770,3658,6227,10446,659,3991,4535,4402,4569,4366,4036,4331,1014,3232,1825,3658,3265,2387,3013,8738,10469,665,2930,565,2331,3928,211,4009,452,1539,277,3147,2337,887,837,7521,9894,1892,13393,34646,1133,326,1584,177,1684,4613,1159,464,15150,46,415,396,1117,2833,117,911,4178,161,321,152,389,15090,640,1858,3254,270,4269,1805,9968,562,2094,238,6838,5453,675,4355,7935,1427
2020,8612,3728,6227,12191,551,4056,3782,3496,4480,4637,3537,4526,999,2949,1766,3233,2892,2365,3673,12959,14775,664,3191,452,2158,4516,2605,4919,606,1617,406,2430,2188,802,781,8288,12465,2566,14309,37171,1291,831,1969,247,1476,5079,1273,374,17323,45,397,339,946,2843,110,1120,9237,169,455,161,295,15693,435,1548,3670,260,4829,1730,10993,749,1917,211,8021,5740,979,4076,8635,2115
2021,8183,4066,6340,14131,500,3310,3394,2742,4011,3880,3410,4915,943,2898,896,2522,2509,2189,3748,13887,16286,699,2962,323,1668,2247,2463,4827,262,2237,512,1962,1990,784,795,8730,13142,2687,11229,42347,1496,1686,1808,316,1436,4944,1430,288,20578,50,322,309,727,2512,83,905,10308,147,718,195,221,15945,295,952,3567,363,4825,1440,8295,806,1516,139,9326,4443,1467,2535,9320,2706
2022,7417,4341,6146,15337,412,3025,2574,2113,3658,3042,3267,4516,850,2782,452,2035,2027,1998,3284,9993,14531,604,2727,241,1309,1268,1449,4409,218,2344,432,1233,1476,642,732,9051,10409,2367,9669,43629,1161,2236,1760,311,1386,4459,1090,157,20515,35,267,219,494,2269,79,934,9549,81,860,236,99,14772,123,514,3298,344,4362,1110,6516,657,1349,86,9429,3570,1185,1150,8877,2098
2023,7937,4831,6505,18135,391,3112,2497,1998,4330,3298,3556,5035,877,2739,477,2066,2025,2330,3794,10088,13827,718,3344,306,1459,1147,945,4306,237,2629,461,1545,1529,722,775,10303,10075,3635,9558,49469,1115,1907,1603,322,1401,5234,1156,162,22237,41,269,175,532,2684,67,1045,9198,117,789,278,110,16666,125,431,3224,338,4823,1212,6451,750,1668,116,10516,4066,1191,1237,9172,2011
