pub_year,10020,10028,10100,10126,10181,10201,10215,10237,10320,10456,10462,10637,10639,10664,10682,10711,10764,10820,10862,10906,10951,11010,11130,11269,11273,11276,11303,11307,11424,11512,11550,11574,11598,11612,11652,11689,11901,11902,11975,12026,12031,12072,12128,12131,12157,12260,12262,12380,12535,12611,12676,12761,12805,12814,13018,13062,13083,13398,13514,13559,13567,13623,13629,13650,13674,13702,13734,13851,13898,13904,13935,14064,14175,14335,14351,14381,14413
1995,1164,452,570,1969,2345,1102,2791,291,4675,710,174,113,855,5,302,726,53,1352,473,1346,177,2029,1203,1624,20,572,696,37,183,190,85,222,125,46,138,26,898,621,696,29,986,608,33,31,4100,24,173,63,219,252,128,55,535,108,1219,176,366,98,18,67,3,1500,214,1083,91,115,1168,253,35,19,228,17,24,323,243,66,4
1996,1402,597,658,1895,2885,1251,2899,363,5039,846,233,153,1000,8,428,826,70,1542,578,1395,189,2026,1245,1723,18,601,705,43,254,202,99,299,182,56,124,26,1089,705,808,28,1146,650,45,36,4157,40,218,72,239,276,112,54,580,109,1223,188,434,95,29,73,3,1732,209,1074,88,93,1316,279,35,26,234,22,21,361,250,65,5
1997,1379,662,663,1878,2896,1267,3108,321,5082,1019,270,145,999,10,457,868,81,1520,599,1269,224,1956,1239,1688,15,550,753,41,229,237,118,298,210,38,158,32,988,626,865,23,1288,623,49,27,4232,47,178,94,234,258,111,47,586,121,1063,179,482,90,19,87,4,1854,223,1108,87,92,1479,276,32,21,270,14,18,368,259,70,5
1998,1586,940,720,1957,3459,1560,3306,388,5126,1097,319,187,1109,10,620,844,80,1639,587,1268,235,1942,1432,1763,22,583,744,34,308,231,176,289,199,49,138,23,1022,715,927,27,1556,606,57,31,4224,37,197,93,219,290,132,76,641,131,942,194,545,88,25,53,4,2047,249,1203,68,109,1572,341,41,27,296,15,37,384,245,90,9
1999,1596,852,906,2045,3340,1673,3486,442,5016,1337,340,200,1419,10,599,1050,79,1955,639,1254,288,2079,1513,1892,22,636,881,41,302,267,203,314,297,31,177,34,1228,666,1132,34,1495,620,67,37,4457,191,187,75,240,225,88,92,600,175,1042,236,594,116,25,95,6,2243,252,1216,142,116,3075,322,35,218,286,35,41,431,262,106,16
2000,2089,1298,917,2092,4426,1712,3821,508,5488,1537,346,225,1577,10,941,1106,94,1764,705,1180,353,2042,1578,1961,16,689,856,55,373,302,262,371,369,38,210,47,1135,786,1100,26,1862,667,81,37,4979,787,254,115,268,287,134,92,709,183,1203,269,684,129,16,139,7,2550,346,1303,183,111,6885,430,38,43,308,51,49,495,324,103,22
2001,2357,1229,1051,2132,4373,1519,4160,539,5018,1615,444,247,1670,23,1188,1098,124,1798,748,1110,345,2136,1822,2014,30,735,910,55,404,358,298,442,449,31,201,53,1148,768,1169,32,1695,579,107,41,5705,1589,319,105,254,293,98,110,734,185,1664,338,768,137,21,180,24,2941,326,1515,194,116,9999,490,33,81,362,55,47,654,266,148,40
2002,3134,1949,2736,4115,6442,4783,7173,1400,17846,3284,1130,608,5584,24,1821,3822,252,7081,1160,3248,931,3772,4168,5824,46,985,1561,111,1291,745,685,761,965,115,381,60,1658,1119,3387,32,3147,1552,157,254,5909,1953,340,154,594,1010,529,258,1047,323,1870,576,1288,203,35,278,26,3196,345,1739,286,120,13777,533,35,91,432,60,65,707,423,165,45
2003,3554,1951,2058,3261,6164,2915,6774,1327,10674,2738,866,539,3944,45,1913,2851,285,3589,1032,2212,850,3106,3160,3990,60,1086,1420,87,1131,839,743,725,1110,60,426,53,1675,1147,2453,44,2605,1049,157,154,6672,2199,328,180,527,687,309,280,984,306,2221,636,1292,194,28,294,29,3426,410,1756,263,148,16702,594,54,121,372,63,70,785,416,188,52
2004,4058,2579,2121,2686,7233,2849,7369,1703,7753,2793,896,677,4114,81,2069,2570,402,2664,1070,1561,942,2864,2956,3720,80,1124,1364,97,1021,1105,903,744,1522,65,448,67,1657,1189,2237,34,2926,1033,196,134,6842,2418,414,213,545,538,218,325,1034,298,2012,703,1481,203,29,409,36,4032,488,1607,356,134,19618,715,48,140,400,111,83,865,385,205,71
