pub_year,1502,1503,1504,1506,1507,1508,1602,1603,1604,1605,1606,1607,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1902,1904,1906,1907,1908,1910,1911,1912,2100,2102,2103,2104,2105,2200,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,2302,2303,2304,2305,2306,2307,2308,2309,2310,2311,2312,2500,2502,2503,2504,2505,2506,2507,2508,2602,2604,2605,2607,2608,2610,2611,2612,2613,2614,3102,3103,3104,3105,3106,3107,3108,3109
2005,9147,10030,893,1661,9712,3298,18214,6948,28731,76806,16170,34768,126407,43035,10362,97159,9564,61212,20658,8287,93144,30183,8650,49017,11661,11771,11396,29663,27225,11956,1820,1501,6781,1044,211,26384,8437,77876,23047,136110,71658,63972,114773,241103,29857,129491,85101,41291,34283,22611,32498,4125,10567,67372,21566,25632,50476,25767,40675,27178,18401,17959,38328,6515,20588,9264,38878,134092,2402,28599,13050,6953,19442,226,4897,16721,17864,4960,9221,14074,1659,611,55355,25995,9136,34729,103653,18451,27811
2006,10043,11127,978,1770,9675,3420,19429,8176,30521,80810,16702,35959,138371,45527,11360,108492,10209,66469,20473,9662,106366,30937,9061,53055,12630,12748,12787,32335,29379,13124,2002,1884,7902,1191,242,30230,9613,85974,24950,153109,79159,67451,126890,264773,33129,143233,91600,44634,37929,25329,36200,4778,12557,73635,23334,27476,55066,28946,44963,28914,20591,20393,41668,6962,23891,10198,43702,148812,2569,32052,13490,7291,20585,271,5143,17597,18564,5856,10051,14942,1739,660,59783,27726,10084,34942,107015,18745,28900
2007,9802,11469,860,1785,10095,3779,20482,8265,31397,82670,16962,35823,144833,47131,11776,109168,11589,67952,19342,9564,118974,30208,9488,56347,13417,13332,13499,32361,29711,13649,2142,2107,8308,1261,243,32683,11773,85359,25879,156034,81419,66933,131518,260361,33911,147083,96115,47740,41146,27419,37953,4946,14247,78128,23991,28878,59208,30915,48543,30943,22036,20717,44556,6910,26137,10833,43010,154494,2866,33622,13905,7679,21902,304,5416,18787,19398,6387,10769,16668,1772,711,56721,26822,9564,36443,104913,19449,29551
2008,10088,12248,893,1905,10936,3786,22178,8727,31340,84642,16618,36544,154546,49567,12042,118155,12930,73260,20069,10883,132087,32382,9868,61332,14463,14067,14793,34208,32534,14182,2372,2312,9756,1451,276,36708,11919,90073,28312,168749,88754,69304,142646,276175,36970,155783,101895,50961,44021,28832,41948,5276,15513,83802,25688,32181,65377,33179,54564,32331,23814,21767,48524,7496,28421,10422,45578,160809,2965,34708,14362,7984,23157,382,6034,20364,20646,6817,10979,17942,1825,664,62150,26403,9591,37266,104360,19806,31370
2009,10633,12940,1026,1951,10762,3991,24211,9042,33281,88371,17487,37552,163376,51954,13089,124710,14647,79498,20705,12195,148957,33954,10222,66865,15747,15494,16533,37982,34417,15721,2728,2591,10707,1692,289,41469,12762,96254,31402,181765,96809,72923,153343,292024,40974,169493,108974,56404,48574,32609,46589,5872,17361,91772,27711,37102,72637,36353,61809,34570,26293,23984,54863,8150,31541,10408,48206,170081,3373,37472,14822,8221,25062,409,6179,20568,20698,8078,11799,18698,1961,759,63187,26763,10288,38638,107343,21267,33205
2010,10879,13982,1131,1987,11923,4246,27129,9498,34584,92216,17250,39314,174902,54317,13853,133272,16895,86983,21559,14112,165028,36408,11079,71094,16763,16191,17826,39988,36911,16387,2775,2921,11836,1870,342,46977,13460,106701,34800,199919,104116,78249,161293,316149,44436,186748,115376,62887,51231,35568,51299,5975,18467,97450,29528,41481,79143,38568,67698,36993,29162,25842,60345,8230,34882,10919,50520,181875,3741,40014,16010,8634,26336,446,6220,21436,22128,8559,12309,20107,1961,865,67116,27120,11448,40655,110486,22458,35182
2011,12090,15099,1132,2110,12720,4729,29038,10604,37014,97931,18327,41131,173700,55471,13699,134467,17828,86145,21652,14572,176063,35557,11376,70487,16945,16172,17864,38285,36506,16122,3074,3382,13099,2121,429,54188,13758,112270,38639,216203,113278,82307,166767,335046,47004,203264,123895,66428,54366,37803,57001,6709,19220,99780,29919,45119,82190,42757,73676,37588,31814,27734,63232,9023,38315,11476,54986,199799,4018,44179,16865,9177,29214,521,6811,23121,22871,9512,13122,21916,1996,962,67126,27237,11831,41602,113982,23472,37182
2012,12222,14529,1175,2200,12699,5024,29965,10948,36480,96513,17749,40766,176324,55653,11901,137943,19821,88655,21324,15964,179861,36948,11620,74136,18949,16878,20271,42535,40372,16929,3284,3582,12496,2061,453,58371,10493,113936,40507,223873,112765,81860,155509,340498,46151,202676,120923,69364,50276,38629,59756,6854,17178,103655,31586,48787,88260,42321,80005,39835,33218,28396,66309,9222,40781,11211,57583,203046,4101,45707,17094,9157,28303,509,6760,22745,22260,9571,12533,22029,2132,969,69743,27847,11490,42033,113281,23414,37690
2013,12539,15956,1193,2203,13226,5378,31546,11338,36908,101105,17429,41646,179559,56799,11408,137600,21541,93057,21057,17222,192998,38466,12061,74135,19390,17550,20993,43943,41288,17375,3408,3801,11986,2358,520,64607,8766,120040,43733,237818,117168,84709,150440,352014,47442,212793,123436,73207,49361,38941,63616,6929,16571,107935,32904,52812,95396,46479,85042,42529,35660,29943,69493,9913,43673,11683,60908,217071,4680,47891,17705,9420,31616,658,7025,24181,23046,10278,13406,24037,2145,1097,70094,28434,11198,42836,114249,25285,38914
2014,12332,16183,1151,2336,13581,5507,30630,11605,38204,101285,17765,41101,181337,57041,11464,140651,23727,94810,21013,18315,195183,39178,11944,73922,20300,17349,22210,46025,42879,17557,3763,4403,11064,2293,672,69992,5997,121130,48091,245011,117147,85227,139771,362841,47955,217670,119116,73869,43818,38765,66014,7041,14974,109424,34057,56033,98515,47978,93505,43300,37407,29837,69379,10233,44978,11805,64321,224220,4581,48400,17271,9996,33460,689,7205,24615,23806,10593,13255,25184,2109,1157,74056,28892,11806,43044,115621,26534,40174
