pub_year,1312 - Molecular Biology,1110 - Plant Science,1311 - Genetics,1106 - Food Science,"1105 - Ecology, Evolution, Behavior and Systematic",2403 - Immunology,2805 - Cognitive Neuroscience,2804 - Cellular and Molecular Neuroscience,1307 - Cell Biology,1306 - Cancer Research,1100 - General Agricultural and Biological Science,1109 - Insect Science,1102 - Agronomy and Crop Science,1111 - Soil Science,1103 - Animal Science and Zoology,3004 - Pharmacology,1305 - Biotechnology,2808 - Neurology,1104 - Aquatic Science,1303 - Biochemistry,1308 - Clinical Biochemistry,3003 - Pharmaceutical Science,2404 - Microbiology,2405 - Parasitology,2807 - Endocrine and Autonomic Systems,1107 - Forestry,1304 - Biophysics,1310 - Endocrinology,2406 - Virology,1313 - Molecular Medicine
1995,1.0,0.4688816867884703,0.3199928145326078,0.13623945570084503,0.20241311946588025,0.20689655172413793,0.12041645771427288,0.1985659004663069,0.1420701630951401,0.09262516560256881,0.05581461494128126,0.08531994042049953,0.06838918287762999,0.04432535197562929,0.06169023150677754,0.04978181627658062,0.05910046930083905,0.04154846822301894,0.029370597965614545,0.052049729422243514,0.03839734137706489,0.03148881387393996,0.025545833551641806,0.02525392393883371,0.029669992440289516,0.009797684183738388,0.023203071787310164,0.016601423620727078,0.020358824277897952,0.0
1996,1.0,0.4618148389858459,0.32037922008659464,0.1381935818895041,0.20269748707044763,0.20145540795632372,0.13008848936513617,0.19733619643095232,0.1403198529153772,0.0958786832557911,0.05380939348645292,0.08429296225342624,0.06331796523581959,0.04275699458958759,0.05809702251882416,0.04820249398258282,0.05776018750482446,0.0413675501568388,0.030448481786348357,0.0476551370848333,0.03750798228809218,0.030953734307347915,0.02494684322435317,0.02512227812747802,0.03149407380897244,0.013283930864613377,0.023571433583854374,0.014378644660112419,0.019718883111232745,0.0
1997,1.0,0.45722171113155474,0.3209634020654211,0.13939171756438012,0.19904406831245547,0.2099660374487276,0.1331387346009919,0.19495611152997488,0.14006958518651735,0.10020681879491737,0.055758070429062535,0.08110893609368407,0.06567015514868127,0.04592898990807285,0.05886381086109939,0.0451404500210969,0.055889493743558526,0.0442689059354919,0.028850876040146363,0.04603966217291158,0.035000103755248285,0.027723402342101806,0.025807388757081294,0.02470758312524642,0.03298725193849389,0.010963471235586667,0.022418050646395196,0.01553561917673669,0.020702630541394887,0.0
1998,1.0,0.4685023613223405,0.3212999279596574,0.14975052696176525,0.20236665866218415,0.2005723204994797,0.13236745911043518,0.18478347874809894,0.140738813735692,0.09585367805971344,0.05682515542036874,0.08319992529149657,0.06239494116705355,0.04621921609434617,0.05902638811067531,0.04691960831398917,0.056064729581899196,0.04050268150164092,0.02960324448357747,0.04493849889271325,0.03199124843245551,0.024967315029749994,0.02329304410469863,0.02739534139117906,0.03359214493449665,0.011479762000053363,0.02294618319592305,0.01362763147362523,0.021058459403932868,0.0
1999,1.0,0.4629208356418864,0.31985790176970963,0.15085878173581463,0.1981879216504253,0.1964540625101848,0.1323077925887299,0.17989766320112113,0.1378157285793436,0.09733728774891634,0.05784962357005508,0.08027246357918065,0.06161066388553922,0.04625362578626601,0.05695010266271225,0.04423948114591142,0.05464263598735456,0.039116122934524,0.026222989929276797,0.04114982237721214,0.030707557931101914,0.021855750741452924,0.023791676172473356,0.022605351497571945,0.03231756998989668,0.01069647687644624,0.02055209725255027,0.011902356353681191,0.01774272398396506,0.0
2000,1.0,0.5822827316429446,0.33987651993590345,0.17476906400226222,0.22773706287114714,0.19406282401734376,0.13441417664247338,0.16989113017249505,0.13996371005749836,0.09881939862380998,0.08137548308040343,0.09950278065793194,0.09505490621170704,0.06789047035535865,0.06968140258271278,0.04877933829767179,0.05802266943161467,0.041656847959279854,0.02939131869167688,0.03806909228013951,0.02722334810066924,0.01867518144971251,0.026940569327929115,0.02639268545574512,0.028902347063813744,0.0161596286172118,0.018681072674144594,0.013013714770477896,0.01803303798661514,0.0
2001,1.0,0.4975624548062793,0.32949429684402043,0.16048727578083086,0.20527279512957478,0.19407641529238878,0.13565113946490634,0.15642858808985094,0.1314175083389704,0.1049543980779548,0.06615194420470714,0.08217676284667957,0.07186093163210562,0.06176086398731077,0.057043222691329803,0.053999206923094865,0.05783629959646381,0.041636537519535353,0.02764106272305288,0.03410813836859415,0.027046255044202376,0.01824660026591402,0.02408971099344545,0.024352126145879498,0.0290814303375242,0.012998297217233095,0.01808915117445359,0.012840848125772667,0.016421357094539433,0.0
2002,1.0,0.49691455955884767,0.32309594406818604,0.17230324846548573,0.20522555444927076,0.1856680197380658,0.15704563607120584,0.15939254023655045,0.13163451754433952,0.10014551899952953,0.06665426655141854,0.08365701281223673,0.0667363261376194,0.05800518616584789,0.057824655076206,0.054142914975327416,0.058295130037090935,0.044011291399061236,0.026521658260117948,0.03244636038382004,0.025279823188944932,0.01792181362626782,0.02280709432475902,0.021034607262820443,0.02657636465091852,0.012768471612853813,0.022856330076479536,0.012850531199054674,0.013868070067945337,0.0
2003,1.0,0.4791747781457791,0.31902004904811265,0.16993906909716078,0.19711273481151872,0.18851161732359112,0.14674487396657648,0.1509822263797942,0.1284200945566708,0.1038353601496726,0.06257426743862665,0.07888150077111723,0.06348443860137032,0.05444846155790964,0.057239653123656864,0.05723459661719718,0.058357141051247695,0.045503501630723336,0.025479736050362804,0.030374434303339824,0.02309306500139054,0.015644830986271584,0.022203119864485626,0.020129952216013956,0.026748919171744243,0.012368214800394408,0.01996814400930397,0.011164766262988901,0.012494627461886582,0.0
2004,1.0,0.4799384151673582,0.31881779448155245,0.1712374644166186,0.19260144752265243,0.189410571752842,0.1468267996353285,0.13904496995181126,0.1266954434666121,0.11171786332260406,0.059854503507172495,0.08043239622676615,0.061049919065250154,0.052240125030234244,0.05481236162018345,0.05711946713304929,0.05748692950304203,0.04397919883900497,0.0230617522838484,0.02690382719035481,0.022554747241706512,0.013744953206690606,0.022140770647664055,0.01823822724989302,0.022973375258153943,0.01004242097233334,0.01837776992204216,0.010102889463597968,0.01201462407204123,0.0
